day of year,jimbaran_clim,jimbaran_p90,nusadua_clim,nusadua_p90,sanur_clim,sanur_p90
189,28.9783230764324,29.7134832443730,28.9108479299266,29.6538057142688,28.8434011567429,29.5994185047765
190,28.9633680117546,29.6975477649320,28.8967527631847,29.6402573247110,28.8301838609672,29.5849023511333
191,28.9475199376699,29.6814187326739,28.8819764889400,29.6273540496826,28.8165664142381,29.5709023998630
192,28.9307230409098,29.6661284292898,28.8664453198111,29.6142572833646,28.8025308429840,29.5569669046710
193,28.9131655723277,29.6519349252024,28.8503219648518,29.6012250346522,28.7882332356602,29.5439991735643
194,28.8952164664849,29.6380639722270,28.8337634563581,29.5896766662598,28.7737369714177,29.5320637241487
195,28.8775123700481,29.6241929946407,28.8173695492909,29.5786444017964,28.7594885544186,29.5207733892625
196,28.8602103162157,29.6095478673135,28.8013682254903,29.5684508662070,28.7457755643365,29.5119346864762
197,28.8428325833508,29.5954833615211,28.7852448694483,29.5585798817296,28.7320625746152,29.5038056527415
198,28.8257897297353,29.5825801480201,28.7693050336887,29.5473540398382,28.7184981040388,29.4938056453582
199,28.8095074466788,29.5716768818517,28.7539072476096,29.5363217507639,28.7052022926562,29.4841927436090
200,28.7941077680464,29.5627091192430,28.7390912407541,29.5290314459032,28.6922479820233,29.4777411430113
201,28.7794440647205,29.5550962263538,28.7247349821442,29.5211604579802,28.6794961119722,29.4683863362958
202,28.7657622937369,29.5489026961788,28.7111733494052,29.5136120580858,28.6673345362810,29.4592250208701
203,28.7536101806312,29.5440639988069,28.6990316378541,29.5081281846569,28.6563024651687,29.4510314695297
204,28.7431570559574,29.5383865971719,28.6886267529882,29.5010314326132,28.6466590988524,29.4423218388711
205,28.7340992579407,29.5326446533203,28.6798016625111,29.4947733479161,28.6383628148747,29.4350960516161
206,28.7256658095960,29.5274833679199,28.6716936281237,29.4886442984304,28.6306757457366,29.4279992995724
207,28.7175842678859,29.5221285297025,28.6638693893861,29.4823862137333,28.6230804377321,29.4212251355571
208,28.7101365359072,29.5170962795134,28.6565815242933,29.4767087874874,28.6158143329413,29.4142574187248
209,28.7031949048416,29.5118704765074,28.6497761115887,29.4705797380017,28.6088821612134,29.4074832547096
210,28.6966203165059,29.5065156382899,28.6433822022697,29.4644506885159,28.6022990582828,29.4010316787228
211,28.6902055990255,29.5011607754615,28.6374196626416,29.4581281477405,28.5961444863036,29.3938704090734
212,28.6843849602897,29.4961285252725,28.6322016129148,29.4512249485139,28.5907211610446,29.3863220337898
213,28.6791338048655,29.4909672398721,28.6276589966398,29.4439346436531,28.5858663729108,29.3789026937177
214,28.6738571069198,29.4852898136262,28.6230917851123,29.4365152666646,28.5809482041827,29.3709672128000
215,28.6682966135047,29.4804511162543,28.6180856371093,29.4300636291504,28.5755551507531,29.3632252846995
216,28.6623406980834,29.4754833836709,28.6125081146849,29.4232894651351,28.5695500448269,29.3553543213875
217,28.6561501776977,29.4694188517909,28.6065455772220,29.4161927130914,28.5630142420133,29.3469672172300
218,28.6499738466795,29.4623220382198,28.6004903328000,29.4087088554136,28.5562258603027,29.3368381623299
219,28.6440207676522,29.4543865573022,28.5945779318481,29.4004507864675,28.5493296357183,29.3250962657313
220,28.6384791921909,29.4453542770878,28.5888972969405,29.3912250149635,28.5423832739012,29.3123220874417
221,28.6333860123623,29.4359994703724,28.5833812632789,29.3813540674025,28.5352817708976,29.2989672507009
222,28.6289039386637,29.4263220756285,28.5779815851013,29.3696766884096,28.5279560702581,29.2850317555089
223,28.6249733732615,29.4165801017515,28.5728184028173,29.3585799063406,28.5204553614050,29.2703865666543
224,28.6215044473950,29.4064510222404,28.5678453630378,29.3454831400225,28.5128960000026,29.2546446400304
225,28.6184120235961,29.3952897225657,28.5631192257587,29.3312250814130,28.5053971817180,29.2381930197439
226,28.6156516408483,29.3849671517649,28.5586863432868,29.3162573291409,28.4981764834083,29.2212252586119
227,28.6132791127808,29.3750961426766,28.5545325264350,29.3011605785739,28.4911743077816,29.2036123214229
228,28.6113370076765,29.3651606159825,28.5508100780111,29.2861928632182,28.4846243119919,29.1856768577330
229,28.6095585576318,29.3549025627875,28.5473212878240,29.2727090158770,28.4784252775526,29.1709671758836
230,28.6077545665091,29.3432897014003,28.5438447944512,29.2590961333244,28.4724617931816,29.1554832827660
231,28.6054198774165,29.3303219702936,28.5400163953458,29.2436767947289,28.4663923583095,29.1372897117369
232,28.6025942229647,29.3166445455244,28.5359590678530,29.2298703593592,28.4604033315974,29.1228380756993
233,28.5993362524552,29.3018703460693,28.5316453797850,29.2156768183554,28.4545249839727,29.1087735452960
234,28.5952883853828,29.2863864898682,28.5266572055342,29.2002574797600,28.4485397411040,29.0949025677096
235,28.5904752177216,29.2712896777738,28.5209425158560,29.1863219845680,28.4422877314142,29.0819992926813
236,28.5849743196139,29.2564509730185,28.5144757684093,29.1709026459725,28.4355627290348,29.0689025017523
237,28.5788102854100,29.2409671168174,28.5072389907050,29.1549026489258,28.4281859428111,29.0552895945887
238,28.5719717639407,29.2251606725877,28.4994374606210,29.1392252399075,28.4204780622639,29.0416766874252
239,28.5646488986125,29.2095477811752,28.4912007773636,29.1241284893405,28.4125261170536,29.0295476605815
240,28.5568407441413,29.1949026538480,28.4824882639401,29.1108382071218,28.4042865909067,29.0192250897807
241,28.5485444608852,29.1810317377890,28.4733320843721,29.0990317929176,28.3957301594430,29.0104508799891
242,28.5398953257102,29.1678059362596,28.4636669651516,29.0880640460599,28.3867489814127,29.0037412335796
243,28.5308290111140,29.1554188020768,28.4535184473563,29.0775479224420,28.3773894098441,28.9969025519586
244,28.5217929683473,29.1441284671906,28.4435392597542,29.0683866439327,28.3682767404151,28.9907735024729
245,28.5129357167353,29.1341930020240,28.4340141447228,29.0608382686492,28.3596834163433,28.9861283579180
246,28.5042506338756,29.1260639436783,28.4250235113242,29.0534189285770,28.3516728189447,28.9838703032463
247,28.4958323183782,29.1187090596845,28.4166941209273,29.0466447030344,28.3444483349874,28.9819348366030
248,28.4877744235691,29.1138058200959,28.4091603024073,29.0421285936909,28.3381518619354,28.9803219579881
249,28.4799596470562,29.1096122987809,28.4021288016787,29.0392253629623,28.3322962177317,28.9793542308192
250,28.4722782544952,29.1039993901407,28.3955551571837,29.0359995811216,28.3269201884397,28.9801283805601
251,28.4648957918748,29.0992252103744,28.3895604546164,29.0337415018389,28.3221533741679,28.9822574000205
252,28.4577838808211,29.0952251803490,28.3841078004665,29.0321285986131,28.3180544251198,28.9851606307491
253,28.4513303747512,29.0942574162637,28.3796768096456,29.0329672659597,28.3150897112218,28.9894186696699
254,28.4453129684020,29.0939993458409,28.3758682764847,29.0340640037291,28.3128704332311,28.9950960959158
255,28.4391555566006,29.0941283810523,28.3720493377997,29.0371607257474,28.3107807562509,29.0018702599310
256,28.4324627171604,29.0945799796812,28.3677242963973,29.0408381431333,28.3082937656136,29.0084508711292
257,28.4250121440965,29.0936122155959,28.3624807046903,29.0447091379473,28.3048636279757,29.0147734734320
258,28.4168596497751,29.0928380658550,28.3564074843510,29.0477413423600,28.3005821039295,29.0209025229177
259,28.4078557699476,29.0921929513254,28.3493390890296,29.0511606524068,28.2952524292899,29.0275476517216
260,28.3982057821310,29.0915477752686,28.3415337716740,29.0539348479240,28.2892009674482,29.0339992646248
261,28.3877564378723,29.0905800111832,28.3328647718176,29.0553541737218,28.2822744704930,29.0389669972081
262,28.3766912583562,29.0889670710410,28.3235430439152,29.0551606209047,28.2746895687344,29.0428379920221
263,28.3651710609852,29.0870315797867,28.3136962951611,29.0544509272422,28.2665512668479,29.0460638107792
264,28.3532639567442,29.0847735251150,28.3034333124505,29.0534831631568,28.2578434830932,29.0489670415078
265,28.3411373827318,29.0807090390113,28.2929489697608,29.0515476965135,28.2486333815470,29.0515476842080
266,28.3289001283690,29.0765800353019,28.2822858355555,29.0499993355044,28.2389748825638,29.0544509149367
267,28.3167385524973,29.0729671355217,28.2716567561209,29.0499348178987,28.2290855637225,29.0570315822478
268,28.3050414550813,29.0705800456385,28.2616416186689,29.0504509587442,28.2197004548649,29.0601283657935
269,28.2942799371595,29.0688381318123,28.2525743584276,29.0499993355043,28.2111024047329,29.0622573852539
270,28.2846176527090,29.0669026651690,28.2446914705690,29.0504509587442,28.2036414274079,29.0645154399257
271,28.2760394665367,29.0657413851830,28.2380430917845,29.0510960978846,28.1974376647432,29.0654831424836
272,28.2687771443262,29.0672897461922,28.2327588211000,29.0518057669363,28.1926774739565,29.0665154241746
273,28.2627294666888,29.0697413782920,28.2288528487852,29.0543864096365,28.1893561248375,29.0680637851838
